name,species,type,cycle,periodo_siembra,periodo_trasplante,germination_min,germination_max,depth,spacing,watering,location,stock,responsable,curso,uso,indoor,outdoor,sowing,notes,tags,qr
Rúcula,Eruca sativa,Hoja,Anual,"Mar-Abr, Sep-Oct","",4,7,5 mm,10-15 cm,medio,Invernadero mesa 1,50,Profesor X,3°A,"Ensaladas, prácticas","rápida|tolerante a fresco","interior|exterior|rápida|orgánica",""
Tomate Cal Ace,Solanum lycopersicum,Fruto,Anual,"Ago-Oct","Oct-Nov",6,10,5-10 mm,40-60 cm,alto,Invernadero fila B,30,Profesora Y,Electivo Huerto,"Salsas, fruto grande","requiere tutor|pleno sol","interior|exterior|verano",""
Tomate Pera,Solanum lycopersicum,Fruto,Anual,"Ago-Oct","Oct-Nov",6,10,5-10 mm,40-60 cm,alto,Invernadero fila C,25,Profesor X,3°B,"Salsa y conserva","riego regular","interior|exterior",""
Tomate Cherry Perita Amarillo,"Solanum lycopersicum var. cerasiforme",Fruto,Anual,"Ago-Oct","Oct-Nov",6,10,5-10 mm,40-60 cm,alto,Invernadero fila D,40,Profesora Z,2°A,"Snack, ensaladas","fruto pequeño amarillo|muy productivo","interior|exterior",""
Pimentón Asti,Capsicum annuum,Fruto,Anual,"Ago-Oct","Nov",7,14,10 mm,40-50 cm,alto,Invernadero cálido,20,Profesor X,4°A,"Cocina","requiere calor|evitar heladas","interior|exterior|cálido",""
Brócoli,Brassica oleracea var. italica,Flor,Bianual,"Feb-Abr, Jul-Ago","Mar-Abr, Ago-Sep",5,10,5-10 mm,30-45 cm,medio,Cantero A,60,Profesora Y,Electivo Huerto,"Clima fresco","prefiere temperaturas frescas","interior|exterior|otoño-invierno",""
Berro,Nasturtium officinale,Hoja,Perenne,"Todo el año","",7,14,superficial,10 cm,alto,Sistema NFT,100,Profesor X,PIE,"Prácticas hidroponía","ama humedad|ideal NFT","interior|exterior|hidropónico|PIE",""
Lechuga Morada,Lactuca sativa,Hoja,Anual,"Mar-May, Ago-Oct","",4,8,5 mm,20-30 cm,medio,Cantero B,80,Profesora Z,1°B,"Ensaladas","rápida|tolerante a fresco","interior|exterior|rápida|orgánica",""
Tomate Rosado,Solanum lycopersicum,Fruto,Anual,"Ago-Oct","Oct-Nov",6,10,5-10 mm,40-60 cm,alto,Invernadero fila E,35,Profesor X,3°A,"Degustación, feria","fruto grande|sabor dulce","interior|exterior",""
Achicoria,Cichorium intybus,Hoja,Perenne,"Mar-May, Sep-Oct","",7,14,5-10 mm,25-30 cm,medio,Cantero C,45,Profesora Y,2°B,"Aperitivos amargos","rústica|amarga agradable","interior|exterior|otoño-invierno|semilla propia",""
