id,nombre,cientifico,familia,tipo,ciclo,siembra,trasplante,germinacion,temp,prof,dist,luz,riego,ubicacion,stock,lote,vida,responsable,curso,uso,asocia,anti,plagas,reco,notas,pie,organica,propia
,Tomate,Solanum lycopersicum,Solanaceae,Hortaliza,Anual,sep-oct,oct-nov,5-10,22-26,1,40,Sol,Alto,Est. B3 / Caja 5,8,2024-09,4,Francisco Pinto,4°AQ,Trasplante a maceteros,albahaca,haba,mosquita blanca,Tutorado y poda apical; evitar frío.,Var. cherry indeterminada,True,False,True
,Pimentón,Capsicum annuum,Solanaceae,Hortaliza,Anual,sep-oct,oct-nov,7-14,24-28,1,40,Sol,Alto,Est. B2 / Caja 3,6,2024-09,3,Belen Acuña,,Huerto invernadero,albahaca,haba,"ácaros, trips","Necesita calor sostenido, tutor suave.",,False,False,False
,Ají,Capsicum baccatum,Solanaceae,Hortaliza,Anual,sep-oct,oct-nov,7-14,24-28,0.8,35,Sol,Alto,Est. B2 / Caja 4,6,2024-09,3,Belen Acuña,,Producción de frutos,albahaca,haba,pulgones,"Favorecer ventilación, riegos profundos.",,False,False,False
,Pepino,Cucumis sativus,Cucurbitaceae,Hortaliza,Anual,sep-oct,oct-nov,4-7,22-26,1.5,60,Sol,Alto,Est. C2 / Caja 1,5,2024-10,2,Francisco Pinto,,Tutores verticales,maíz,papa,oidio,Evitar mojar hojas; acolchado.,,False,False,False
,Zapallo italiano,Cucurbita pepo,Cucurbitaceae,Hortaliza,Anual,sep-oct,---,5-10,20-24,2,80,Sol,Medio,Exterior / Cantero 1,8,2024-09,3,Belen Acuña,,Cosecha continua,maíz,papa,oidio,"Riego regular, buena ventilación.",,False,False,True
,Zapallo,Cucurbita maxima,Cucurbitaceae,Hortaliza,Anual,oct-nov,---,7-14,20-24,3,120,Sol,Medio,Exterior / Cantero 2,6,2024-10,3,Francisco Pinto,,Frutos de guarda,maíz,papa,oidio,"Espacio amplio, riego profundo.",,False,False,True
,Melón,Cucumis melo,Cucurbitaceae,Hortaliza,Anual,oct-nov,---,5-10,24-28,2,80,Sol,Medio,Exterior / Cama caliente,4,2024-10,2,Belen Acuña,,Ensayo dulce,maíz,papa,mosca blanca,"Suelos cálidos, poca humedad foliar.",,False,False,False
,Sandía,Citrullus lanatus,Cucurbitaceae,Hortaliza,Anual,oct-nov,---,5-10,26-30,2,120,Sol,Medio,Exterior / Cama caliente,4,2024-10,2,Francisco Pinto,,Ensayo fruta grande,maíz,papa,trips,"Necesita altas temperaturas, acolchado.",,False,False,False
,Lechuga,Lactuca sativa,Asteraceae,Hortaliza,Anual,"mar-abr, ago-sep","abr-may, sep-oct",7-14,18-22,0.5,25,Sol,Medio,Est. A1 / Caja 2,12,2024-08,4,Francisco Pinto,3°AM,Práctica de siembra y raleo,zanahoria,,pulgones,Siembra superficial y mantener humedad.,Ideal para NFT,True,True,False
,Espinaca,Spinacia oleracea,Amaranthaceae,Hortaliza,Anual,"mar-may, jul-ago",abr-may,7-14,10-18,1,10,Sol,Medio,Est. A1 / Caja 1,10,2024-07,3,Belen Acuña,,Cosecha de hojas,zanahoria,acelga,mildiu,Prefiere fresco; evitar calor intenso.,,True,False,True
